"Participant.Private.ID","Response.LinkedIn-use","Response.LinkedIn-likes","Response.education","Response.LinkedIn-posting","Response.LinkedIn-ownprofile","Response.LinkedIn-other","Response.LinkedIn-connections","Response.LinkedIn-successful","Response.SocialComparison-lovedones","Response.SocialComparison-doingthings","Response.SocialComparison-welldone","Response.age","Response.LinkedIn-years","Response.SocialComparison-socialskills","Response.SocialComparison-nocomparison","Response.SocialComparison-achievement","Response.SocialComparison-mutualopinions","Response.SocialComparison-similarproblems","Response.gender","Response.LinkedIn-monthlyuse","Response.SocialComparison-similarsituation","Response.SocialComaprison-learnmore","Response.SocialComparison-relativity","Response.Impostor-afraidsuccess","Response.Impostor-competence","Response.Impostor-evaluation","Response.Impostor-priaseexpectations","Response.LinkedIn-newsfeed","Response.occupation","Response.Impostor-rightplaceandtime","Response.Impostor-capabilityimpressions","Response.Impostor-capabilitymemories","Response.Impostor-taskperformance","Response.Impostor-successerror","Response.Impostor-acceptingcompliments","Response.Impostor-successluck","Response.Impostor-accomplishmentdisappointment","Response.Impostor-abilitylack","Response.Impostor-futurefailure","Response.ethnicity","Response.LinkedIn-findingconnections","Response.Impostor-repeatingsuccess","Response.Impostor-discountingpraise","Response.Impostor-comparingability","Response.Impostor-successworries","Response.Impostor-sharingrecognition","Response.Impostor-beingthebest","Response.LinkedIn-jobpostings","Response.LinkedIn-othersprofiles","Response.LinkedIn-messaging","na_count"
7967010,"Yes","0","16 (3rd year uni)","0","0.25",NA,65,"less successful","D","D","C","21","3","B","C","E","D","C","Male","6.25","B","C","B","4","5","3","5","1","Student","3","4","5","2","1","5","2","2","3","4","White","1","4","5","5","4","5","4","2","2","0",1
7968916,"Yes","0","15",NA,"0",NA,300,"more successful","D","D","D","22","2","E","B","D","D","D","Female","5","D","D","D","4","4","5","4","4","student",NA,"4","4","4","5","4","5","5","4","5","White","0","5","5","5","4","4","5","1","1","0",3
7969046,"Yes","0",NA,"0","0.5","0",157,"more successful","D","E","D","18","2","E","B","D","D","C","Female","2","D","C","A","4","4","3","5","1","Student","2","4","4","4","2","2","4","2","3","3","Asian","0","2","2","4","4","3","2","0","1","0",1
7969211,"Yes","0","17","0","0",NA,500,"more successful","B","D","D","20","2","D","B","B","E","E","Female","2","D","E","B","4","2","1","4","1","Student","4","4","4","4","4","2","4","4","3","3","Asian","1","4","4","5","5","4","3","0","0","0",1
7969227,"Yes","10","5","1","2","na",500,"more successful","D","E","E","29","7","E","B","E","C","D","Female","50","E","D","C","4","5","5","4","30","Project manager","5","4","4","5","3","4","4","5","5","4","Mixed or multiple ethnic groups","5","5","5","5","4","5","5","3","10","0",0
7969351,"Yes","0","15","0","0.5",NA,141,"equally successful","D","D","D","21","3","B","B","D","D","D","Male","1.5","A","B","C","4","5","2","2","0","Student","4","1","2","2","1","1","3","3","1","4","White","0.5","2","2","4","2","4","4","0","0.5","0",1
7969591,"Yes","0","15","0","0","0",453,"more successful","E","E","E","27","5","E","E","E","E","E","Female","40","E","E","E","5","5","4","5","20","HR","4","5","3","5","5","4","5","4","5","5","Mixed or multiple ethnic groups","2","4","5","5","4","5","5","5","15","0",0
7969907,"Yes","0","15","0","0","no",753,"equally successful","A","B","E","21","3","B","D","B","E","E","Female","2","C","B","B","4","1","1","1","1","Student/ Business Development Analyst","1","1","3","1","1","1","1","4","1","2","White","0","1","1","1","1","5","4","0","1","0",0
7970286,"Yes","0 hours","16","0 hours","0.5 hours","No",500,"more successful","D","D","D","19","2","D","B","D","D","D","Female","10","D","D","B","3","3","4","5","3","Student","2","5","5","5","2","5","2","5","5","5","Black/Caribbean/African","4","5","5","5","5","5","5","2","5","0.5 hours",0
7970524,"Yes","0","18","1","1",NA,2000,"equally successful","A","B","B","22","4","D","D","B","E","D","Female","30","B","B","B","4","5","4","3","3","student","4","4","2","2","1","1","2","4","2","4","Asian","10","2","4","2","5","5","5","10","3","1",1
7970556,"Yes","less than an hour","4","1","less than an hour","-",130,"more successful","B","B","B","21","1","B","D","B","C","D","Female","1?","D","D","D","3","5","1","3","1","student","4","3","3","2","2",NA,"3","2","2","2","Asian","1","2","2","2","2","2","2","1","1","1",1
7972798,"Yes","0","up to a BA Hons","0.5","0.5","Reading posts from connections on my feed and commenting",644,"equally successful","D","D","B","32","10","B","B","C","C","D","Female","4-5","D","D","C","4","3","2","2","1","Marketing","2","2","3","2","1","4","2","4","4","4","White","0","3","4","3","3","4","2","0","0.5","1",0
7974512,"Yes","0","16","0","2",NA,20,"more successful","C","B","B","20","1","B","D","B","D","D","Male","10","C","D","B","4","2","2","2","2","student","1","3","4","2","4","5","4","2","3","4","White","0","4","4","2","2","4","4","4","1","1",1
7974525,"Yes","0","15","0","0","N/A",74,"more successful","B","D","D","20","3","D","B","E","E","C","Female","1","B","C","B","4","4","2","5","1","Student","1","1","1","1","1","1","1","4","2","4","Mixed or multiple ethnic groups","0","5","1","2","4","1","3","2","1","0",0
7974586,"Yes","0","up to highschool, 2 years of uni","0","0",NA,532,"more successful","C","D","D","20","2","D","C","D","D","D","Female","15","D","C","A","4","5","4","5","2","student","5","5","4","5","3","3","5","4","4","3","Mixed or multiple ethnic groups","3","3","2","5","4","5","5","5","1","4",1
7974701,"Yes","N/A","Until age 21","0","under 1","N/A",140,"more successful","C","E","C","22","3","E","A","D","E","E","Female","7","E","E","A","5","4","2","2","under 1","Graduate Research Executive","4","4","5","2","2","2","5","2","2","5","White","under 1","1","2","3","4","4","1","4-5","2","0",0
7975004,"Yes","0","in 3rd year of high school","0","0.5","checking where my connections work",368,"equally successful","B","D","D","21","3","B","B","D","E","E","Female","5","E","E","E","5","3","2","4","5","hospitality student working part time jn horeca","4","4","3","2","2","4","3","4","2","5","White","4","4","5","4","5","3","5","3","4","1",0
7976064,"Yes","0","15","0","0",NA,899,"more successful","B","D","D","20","3","C","D","C","D","C","Male","5","D","C","C","4","3","3","2","2.5","Student","2","2","4","4","2","4","2","2","2","4","Asian","0.5","3","4","2","4","4","1","0","2","0",1
7977082,"Yes","0","17","0","0","0",190,"equally successful","E","D","C","22","1","D","A","D","E","E","Male","2","E","E","B","4","5","1","4","0","Member Services Advisor","4","3","5","2","2","4","2","4","3","5","White","0.5","5","2","3","5","5","4","0.5","1","0",0
7977110,"Yes","0","16","0","0","0",200,"more successful","D","C","B","23","3","D","B","E","D","D","Male","5","C","B","B","5","4","3","4","3,5","student","4","4","4","4","4","5","4","4","5","4","White","0,5","4","4","5","5","5","4","0","1","0",0
7977186,"Yes","0","15","0","0",NA,487,"more successful","A","C","D","21","5","E","A","E","E","E","Female","1.5","E","C","B","3","1","1","1","0.4","Student","4","3","4","3","1","1","3","4","3","4","Mixed or multiple ethnic groups","0.05","4","3","5","4","5","3","1","0.05","0",1
7979169,"Yes","0","3,5 (higher education)","1","0,5",NA,645,"more successful","D","E","D","24","4","C","B","D","E","E","Female","25","E","D","A","5","5","2","4","13","full-time employee","5","4","4","5","3","3","4","4","4","4","White","2","3","4","5","4","1","4","7","1","0,5",1
7980040,"Yes","0","3","0","1","No",150,"more successful","D","E","E","22","5","E","A","D","D","D","Male","1-3","C","D","A","5","5","4","2","1","Student","4","5","5","5","4","5","5","5","5","5","White","0.5","4","3","5","4","3","5","1","1","0",0
7980273,"Yes","0","14","0","0",".",30,"more successful","D","E","E","21","2","E","B","E","D","E","Female","0.2","D","B","B","4","3","4","5","0.2","student","2","4","5","3","2","2","3","3","2","4","White","0","3","2","4","3","4","4","0","0","0",0
7981899,"Yes","0","19","0","0",NA,449,"equally successful","A","D","C","25","5","B","B","D","D","E","Male","2","D","B","A","4","2","1","2","0.5","Behavioural Scientist","3","4","3","3","3","5","3","4","4","3","White","0.5","2","4","3","4","4","2","0","0.5","0.5",1
7982666,"Yes","0","17","0","0","n/a",200,"more successful","C","C","D","22","3","D","D","D","D","D","Female","1","D","D","D","4","4","3","4","0","Seamstress","4","4","4","2","4","3","4","4","4","4","White","0","4","4","4","4","4","4","0","0","0",0
7984217,"Yes","0","15","0","1","N/A",61,"equally successful","B","C","D","22","2","B","B","D","E","D","Female","1","C","E","A","5","4","2","3","0","Unemployed","4","4","2","3","2","2","3","4","3","4","White","1","3","2","2","3","4","4","1","1","0",0
7984438,"Yes","0","5 (Master's)","0","1",NA,350,NA,"A","D","C","25","4","A","B","C","E","E","Male","2","D","C","B","5","4","1","1","0","Software engineer","3","2","3","1","1","1","1","4","2",NA,"White","0","1","1","2","4","5","5","1","0","0",3
7984439,"Yes","0","18","0","0.5","applying for jobs - c.a. 2",318,"more successful","B","D","C","20","2","B","B","E","D","D","Female","4-5","D","C","A","4","4","4","4","1.5","Student","4","5","4","2","3","2","4","5","4","4","Mixed or multiple ethnic groups","0.5","2","2","5","4","2","5","2-3","1","0.1",0
7984446,"Yes","0","18","0","0","checking who opened and read my profile - 2 hours and checking how many connections I have (the number is rising every month so I am checking from curiosity) - 1 hour",1000,"more successful","D","D","E","25","4","D","B","D","E","E","Female","80","C","B","B","5","3","1","1","3","Talent Sourcer (Recruitment)","4","1","2","1","1","1","2","5","2","1","White","3","1","4","3","3","3","4","1","70","1",0
7984437,"Yes","0","I have Mgr degree","0","0","-",69,"equally successful","C","D","D","33","10","B","C","C","D","C","Male","0.25","B","B","C","3","2","4","1","0","SW Engineer","1","1","3","1","1","2","1","1","1","1","White","0","1","1","2","1","1","5","0","0","0.25",0
7984478,"Yes","0","18 (including grammar and high school)","0","0,1",NA,228,"more successful","B","D","C","30","7","C","D","D","D","C","Female","3","C","D","C","4","3","1","1","2,5","IT Delivery Operations Manager","1","1","2","2","1","3","1","3","1","1","White","0","1","4","3","1","4","1","0,5","0,5","0,1",1
7984501,"Yes","0","2","0","0.1",NA,621,"equally successful","B","C","E","21","4","A","B","E","D","D","Male","10","D","D","B","2","5","2","1","7","student","1","1","4","3","1","4","1","4","2","2","White","0.5","1","4","2","4","2","2","0.5","0.5","0.5",1
7984507,"Yes","0","20","0","0","-",600,"equally successful","B","B","C","39","13","B","E","B","C","B","Male","4","B","B","D","3","3","4","2","2","Software Engineer","1","1","2","2","1","2","1","2","1","2","White","1","1","2","1","1","1","1","0","0","1",0
7984667,"Yes","-","17","-","-","-",450,"more successful","B","D","C","25","5","C","B","C","D","B","Female","4","B","C","B","2","3","3","2","3","receptionist","3","2","2","3","2","2","3","3","2","2","White","-","2","3","1","2","2","4","-","0.5","-",0
7984822,"Yes","0","17","0","0",NA,427,"equally successful","A","C","A","35","11","B","D","D","E","E","Male","2","E","B","C","4","5","1","1","1","Programmer","4","1","5","3","2","3","3","4","2","2","White","0","1","4","1","2","4","2","0.5","0.25","0.25",1
7985056,"Yes","0","9 years of elementary, 4 years of High Schools","0","0","No",244,"equally successful","C","B","B","28","8","B","D","C","D","D","Male","1","D","D","C","4","4","2","4","0","DevOps Engineer","3","3","4","3","3","3","4","4","3","4","White","0","4","4","2","3","2",NA,"0","0","0",1
7984840,"Yes","0","17","0","0.5",NA,130,"more successful","D","E","E","29","4","E","A","E","B","E","Male","3","E","B","A","2","2","1","2","1","Software engineer","1","1","4","1","1","1","1","4","1","1","White","0","1","2","4","2","3","5","0.5","1","0",1
7985139,"Yes","0","15","0","0",NA,327,"more successful","B","D","B","21","3","B","C","D","E","E","Female","1","E","B","C","4","4","4","3","1","Student","2","4","3","3","1","1","1","3","4","3","White","0","1","3","4","4","2","2","0","0","0",1
7985252,"Yes","0","18","0","0.1",NA,557,"more successful","B","D","D","26","10","E","A","D","C","D","Male","2.1","E","D","C","3","4","1","2","0.5","Software Engineer","2","4","5","2","2","2","2","4","3","4","White","0","2","4","3","4","4","4","0.5","0","1",1
7985316,"Yes","0","11","0","1",NA,400,"more successful","C","C","D","18","0.5","B","D","B","E","E","Male","11","D","D","B","4","2","1","1","5","Student","2","2","3","2","2","1","2","2","2","2","White","3","1",NA,"2","2","1","3","0","1","1",2
7985970,"Yes","0","17 (I’m in my final year of masters)","0.5","0.5",NA,80,"more successful","B","D","E","23","1","E","A","D","B","D","Female","3-4","B","B","B","5","2","4","5","2","student","4","5","5","2","3","5","4","4","4","5","White","0.5","4","5","4","5","2","5","0","0.5","0",1
7989936,"Yes","0","14","0","0",NA,8,"more successful","D","E","E","22","1","E","A","E","D","D","Female","4","D","D","A","3","3","4","5","0.5","Student","5","5","5","3","5","5","5","5","5","5","Asian","0.5","5","4","5","5","4","4","0.5","2","0",1
7991272,"Yes","30","10","30","40",NA,57,"equally successful","C","D","D","23","3","C","D","C","B","C","Female","30","D","C","B","3","4",NA,"2","30","student","5","1","4",NA,"2","4","3","2","3","4","Black/Caribbean/African","30","3","1","4","1","4","5","30","10","30",3
7991450,"Yes","0","17","0","0","---",926,"more successful","D","E","E","29","8","D","B","E","C","B","Male","8","B","B","A","4","2","2","4","6","CTO","5","4","5","2","2","4","2","4","4","4","White","0.5","5","5","5","5","4","4","0.5","0.5","0.5",0
7991723,"Yes","None.","18","None, I believe.","Every once in a few months, I can spend time between five minutes and one hour.","No.",NA,"more successful","A","C","D","36","Approximately 20 years.","B","D","C","D","B","Male","Some between 0 and 3.","B","C","E","3","3","3","3","Perhaps an hour or even less.","software engineer","3","3","3","3","3","3","3","3","3","3","White","None. I just respond and decide for offers.","3","3","3","3","3","3","None.","Minutes if any.","At most an hour.",0
7992208,"Yes","0","17","0","0,5","Recruitment - 2,5h",460,"more successful","A","B","B","24","5","A","D","B","D","D","Male","5,5","D","D","B","3","4","2","3","2","Student","3","2","1","2","1","1","2","3","2","2","White","0,1","2","3","2","2","2","4","0,1","0,2","0,1",0
7992326,"Yes","0","2","0","0","0",18,"equally successful","E","E","C","22","2","D","B","C","D","E","Male","0","E","D","A","5","4","1","2","0","student","4","1","5","2","1","2","2","2","1","5","White","0","4","2","5","1","4","1","0","0","0",0
7996392,"Yes","0","17","0","0","0",108,"equally successful","B","C","C","43","16","B","E","B","D","D","Male","2","C","B","D","2","4","2","2","1","Data analyst","2","1","2","2","1","3","2","1","2","2","White","0","2","1","1","2","2","1","0","1","0",0
8001987,"Yes","0","18","0","0","read and click likes for other people's posts",350,"equally successful","B","C","E","25","7","D","D","D","C","C","Female","3","C","D","C","1","4","2","2","1","software engineer","3","2","2","2","1","1","1","1","1","1","Asian","0","1","4","2","1","5","1","0","1","0",0
8009852,"Yes","0,5","19","1","0,5",NA,4200,"more successful","B","C","D","26","1,5","B","D","B","D","D","Female","96","B","B","D","4","3","4","1","1","sourcer","1","2","4","2","1","1","3","1","3","2","White","2","1","1","2","1","4","1","0","96","1",1
8012493,"Yes","0","what type of education? 2 years of undergrad, overall around 15 years in school","0,02","0,15",NA,1200,"more successful","B","B","B","21","3","D","C","E","D","D","Female","5","C","D","B","4","3","2","2","1","student","3","1","3","2","2","2","2","2","2","1","White","2","1","4","2","2","2","3","2","1","0,5",1
8023981,"Yes","0","3","0","0.75",NA,14,"more successful","D","D","E","23","1","D","B","E","D","D","Female","4","E","D","B","5","3","5","5","3","Student","3","4","5","3","3","4","4","3","5","5","White","0.5","5","4","4","5","5","4","0.5","1","0",1
8027416,"Yes","0.1","3","0.1","2",NA,434,"equally successful","B","B","C","22","2","D","B","A","E","E","Female","4","E","E","B","4","3","1","1","2","Student","2","1","4","2","1","1","2","2","2","5","White","1","4","2","1","5","5","4","0","0.25","0.25",1
8029192,"Yes","0","17","0","0.5","N/A",250,"more successful","B","D","E","20","2","E","B","E","E","C","Female","8","D","E","B","5","5","3","4","2","student","4","5","3","2","2","4","5","4","5","4","Asian","0","5","4","5","4","5","5","6","1","0.5",0
8029386,"Yes","0","15","1","0",NA,200,"equally successful","B","B","B","21","2","C","B","B","B","D","Female","1","D","D","E","4","4","3","3","0","student","2","2","4","3","2","2","4","3","4","3","Asian","0","2","4","2","2","4","2","0","2","1",1
8042810,"Yes","0","17","0","1",NA,43,"equally successful","D","D","D","23","1","B","D","D","E","D","Female","3","B","B","A","5","4","2","4","1","Student","4","4","2","1","2","2","4","4","4","4","Asian","2","4","2","2","5","5","5","0","2","1",1
8042916,"Yes","0","2","0","1","no",500,"equally successful","A","A","B","20","2","B","D","A","C","B","Female","5","A","B","B","4","5","3","2","1","student","4","4","3","3","4","3","4","5","3","4","Asian","1","4","3","3","3","5","4","3","1","1",0
8043502,"Yes","0","15","0","0.5","no",473,"equally successful","A","A","A","21","3","A","C","A","D","D","Female","66","D","D","B","5","4","1","2","50","student","4","2","3","3","1","3","3","3","4","4","White","5","3","5","1","4","5","4","5","5","1",0
8044441,"Yes","0","18","0","0","Accepting new connection requests 30minutes",283,"more successful","B","D","D","44","10","B","D","B","D","C","Male","1","E","E","C","5","3","3","2","0","Information technology engineer","2","1","1","1","1","1","1","3","2","2","White","30 minutes","2","1","3","4","4","3","0","0","0",0
8044510,"Yes","0","2","0","1",NA,1,"more successful","D","D","D","21","2","D","B","B","D",NA,"Female","3","D","D","D","4","2","4","5","3","student","5","4","4","5","5","4","4","4","2","4","Black/Caribbean/African","1","4","4","4","4","4","4","2","1","0",2
8048864,"Yes","6","12","5","5",NA,196,"more successful","C","B","D","18","less than 1","D","A","D","D","D","Male","60","D","D","B","3","3","3","3","2","student","3","3","3","3","3","3","3","3","3","3","Asian","2","3","3","3","3","3","5","2","50","10",1
8050029,"Yes","0","13","0","0.5","No",150,"more successful","A","E","C","20","Less than 1","D","C","E","D","E","Female","Maybe 5?","E","E","B","5","3","2",NA,"0.5","Student","1","4","3","2","2","2","2","5","4","4","White","I don't, i just look when people connect with me usually","4","3","4","5","4","5","0.5","1","0",1
8051768,"Yes","0","20","0","0","0",439,"equally successful","A","B","B","28","6","D","E","A","C","D","Male","1","A","A","B","4","2","3","2","0.5","Software developer","3","2",NA,"3","1","4","2","2","2","1","White","0.1","2","1","1","1","5","3","0","0.1","0.3",1
8053210,"Yes","0","15","0","0","0",150,"equally successful","A","A","A","26","3","A","A","D","D","D","Female","1","E","B","B","5","4","4","3","0.9","data scientist","1","2","2","3","1","3","1","3","2","4","White","0.1","2","4","3","4","3","2","0","0","0",0
8053252,"Yes","0,25","17","0,25","0",NA,435,"more successful","D","D","D","44","apr. 10 years","D","D","D","D","D","Female","5","D","D","D","4","2","2","4","1","partnerships manager","4","2","4","4","2","4","3","4","4","4","White","0,5","4","4","4","4","4","4","0,25","1","0,5",1
8054286,"Yes","0","15","0","0.5",NA,114,"equally successful","A","D","D","19","1","C","B","D","D","D","Female","5","E","D","A","4","4","1","2","2","Student","3","4","5","4","2","4","4","5","3","4","White","0","2","4","4","5","4","3","1","1","0.5",1
8057253,"Yes","0,1","16","0,2","0","no",733,"equally successful","B","B","D","54","9","C","D","B","D","D","Male","2","B","B","D","5","4","4","2","1","bank manager","4","4","3","2","2","2","4","2","2","2","White","0,1","2","2","2","2","4","2","0,1","0,3","0,1",0
8062092,"Yes","1","19","0","0","nie",12,NA,"B","D","D","42","4","C","D","D","E","D","Female","4","D","D","D","4","3","2","2","2","HR Specialist","2","3","2","2","1","3","2","4","4","4","White","1","2","2","4","4","4","3","2","2","1",1
8062479,"Yes","0","16","0","1",NA,20,"more successful","D","D","E","18","1","D","B","D","E","E","Female","0","E","E","B","3","5","4","3","0","student","4","3","4","4","1","5","4","5","5","4","Asian","1","5","4","5","5","4","5","1","1","0",1
8065461,"Yes","0","14","0","1.5","following groups -1.5",116,"more successful","B","B","B","20","2","A","B","E","E","B","Female","10","D","E","D","1","5","5","5","1","student","5","5","5","5","5","4","5","5","5","5","Asian","2","5","5","5","5","2","5","1","2","1",0
8065640,"Yes","0","MSc","0.5","0.5",NA,421,"more successful","B","D","D","40","14","C","B","E","E","D","Female","11","D","C","B","3","3","3","2","3","Marketing","4","3","4","2","2","4","3","5","4","4","White","1","3","4","4","3","5","4","5","1","0",1
8066680,"Yes","5","17","5","1",NA,500,"equally successful","D","B","C","42","20","D","C","D","E","D","Female","60","D","C","C","4","4","3","3","80","account manager","4","3","2","2","1","2","2","1","1","2","White","20","1","1","2","2","1","2","0","20","2",1
8074818,"Yes","0","1 full year at university - currently in second year","0","0.5","No",2,"more successful","E","D","D","20","1","E","A","E","B","E","Female","3","E","E","A","5","2","4","5","2","Student","5","5","5","5","5","4","5","5","4","5","Black/Caribbean/African","0.5","5","5","5","3","5","5","0","1","0",0
8080536,"Yes","0","4","0","0","none",299,"equally successful","A","B","B","51","10","B","A","B","B","C","Male","0.5","D","C","C","2","4","3","4","0","IT administrator","2","3","2","2","1","2","2","2","4","3","White","0","1","4","4","3","2","2","0.5","0.5","0.5",0
8086057,"Yes","0","15","0","1",NA,3,"equally successful","D","E","D","21","0","B","B","E","E","E","Male","1","D","C","B","5","2","1","4","0","Student","3","4","2","2","3","4","3","1","4","4","White","0","3","1","3","3","5","5","0","0","0",1
8086513,"Yes","0.5","3","0.5","0.5","No",380,"equally successful","D","D","C","20","3","D","D","D","D","D","Male","2","D","D","D","4","3","4","4","0.5","student","3","4","4","4","4","4","3","3","4","4","Asian","0.5","3","3","4","3","3","3","1","0.5","0",0
8087496,"Yes","2","16","0","1","no",300,"more successful","E","D",NA,"23","5","E","D","D","D","E","Female","1","E","E","B","5","3","2","4","10","Student","4","3",NA,"3","3","4","4","4","4","4","White","1","3","4","4","3","4","4","8","3","0",2
8094627,"Yes","0","2","0","20 minutes",NA,20,"more successful","D","E","D","20","1","B","C","C","E","D","Male","16","C","D","B","5","2","4","4","7","student","2","4","5","5","4","5","4","3","3","4","White","1","4","4","3","3","5","4","1","2","1",1
8095467,"Yes","0","16","0","0.5","N/A",4,"equally successful","B","B","B","22","2","A","D","B","C","B","Female","3","D","B","D","4","2","4","2","0.25","student","2","2","3","2","2","2","4","2","2","2","Asian","0.5","2","2","2",NA,"4","2","1","0.25","0.5",1
8095528,"Yes","0","5","0","1","I sometime read articles posted on LinkedIn - maybe 5-10 hours per month",436,"more successful","A","D","D","24","5","C","B","D","C","C","Female","30","D","D","A","5","5","4","4","5","Project Assistant","4","5","5","4","4","3","4","5","5","4","White","5","3","4","4","4","5","4","20","1","0",0
8096153,"Yes","0","20","0","0",NA,150,"equally successful","A","B","B","47","1,5","A","D","A","C","C","Female","2","C","B","B","2","3","3","2","2","manager","3","3","2","1","1","1","1","3","2","2","White","0","2","2","2","2","2","2","0,01","0,05","0",1
8096651,"Yes","0.5","3","0.5","0.5",NA,480,"more successful","B","D","D","22","1","B","C","D","D","D","Female","5","D","D","D","4","3","2","4","1","Student","4","4","4","1","4","4","4","5","4","5","Asian","1","3","4","4","4","4","4","3","0.5","0.5",1
8099086,"Yes","0","17","1","0","none",500,"equally successful","B","B","B","45","12","B","E","B","D","B","Female","2","C","C","D","2","3","4","2","6","Corporate banking / Human resources","2","2","4","2","1","2","3","2","2","2","White","1","2","3","2","2","2","1","1","1","2",0
8099362,"Yes","0","1st Year Undergraduate","0","1","0",200,"equally successful","C","D","C","19","1","A","C","A","D","D","Male","Less than an hour","D","D","D","5","3","1","3","Less than an hour","Student","1","5","4","1","1","3","3","2","5","4","Asian","Less than an hour","3","3","4","4","5","4","0","1","0",0
8100112,"Yes","0","17","0","1",NA,272,"more successful","B","E","E","25","7","D","A","D","D","D","Female","12","D","D","A","4","4","3","4","6","Student","3","4","4","4","2","4","2","3","4","4","White","0.5","4","2","4","4","4","5","3","0.5","1",1
8102959,"Yes","0","17","0","0.2","0",263,"equally successful","A","E","E","24","2","C","B","E","D","D","Male","4","D","B","A","3","4","3","5","0.5","student","5","4","5","5","4","5","4","5","5","4","White","0.5","5","5","5","5","5","5","0.1","1","0.3",0
8105989,"Yes","0","5","0","0",NA,283,"equally successful","A","A","B","53","15","A","E","A","C","C","Male","1","C","B","E","3","4","1","2",".5","project manager","2","1","1","2","1","5","2","1","1","1","White","0","1","1","1","2","2","1","0","0.5","0",1
