Participant.Private.ID,Response.age,Response.gender,Response.ethnicity,Response.occupation,Response.education,Response.LinkedIn.years,Response.LinkedIn.monthlyuse,Response.LinkedIn.connections,Response.LinkedIn.findingconnections,Response.LinkedIn.jobpostings,Response.LinkedIn.likes,Response.LinkedIn.messaging,Response.LinkedIn.newsfeed,Response.LinkedIn.othersprofiles,Response.LinkedIn.posting,Response.LinkedIn.ownprofile,Response.LinkedIn.successful,Response.LinkedIn.other,LinkedInScore,Response.SocialComparison.lovedones,Response.SocialComparison.doingthings,Response.SocialComparison.welldone,Response.SocialComparison.socialskills,Response.SocialComparison.nocomparison,Response.SocialComparison.achievement,Response.SocialComparison.mutualopinions,Response.SocialComparison.similarproblems,Response.SocialComparison.similarsituation,Response.SocialComparison.learnmore,Response.SocialComparison.relativity,SocialComparisonScore,Response.Impostor.afraidsuccess,Response.Impostor.competence,Response.Impostor.evaluation,Response.Impostor.priaseexpectations,Response.Impostor.rightplaceandtime,Response.Impostor.capabilityimpressions,Response.Impostor.capabilitymemories,Response.Impostor.taskperformance,Response.Impostor.successerror,Response.Impostor.acceptingcompliments,Response.Impostor.successluck,Response.Impostor.accomplishmentdisappointment,Response.Impostor.abilitylack,Response.Impostor.futurefailure,Response.Impostor.repeatingsuccess,Response.Impostor.discountingpraise,Response.Impostor.comparingability,Response.Impostor.successworries,Response.Impostor.sharingrecognition,Response.Impostor.beingthebest,ImpostorScore,na_count
7966599,21,2,3,1,14,0.5,1,760,1,0,0,0,0,0,0,0.1,1,0,-2.252120351,4,4,4,3,3,4,4,3,4,4,3,40,4,4,2,2,4,3,2,3,4,3,4,2,2,4,2,4,2,4,3,4,62,0
7967010,21,1,4,1,16,3,6.25,65,1,2,0,0,1,2,0,0.25,-1,NA,-5.231765826,4,4,3,2,3,5,4,3,2,3,4,37,4,5,3,5,3,4,5,2,1,5,2,2,3,4,4,5,5,4,5,4,75,1
7968916,22,2,4,1,15,2,5,300,0,1,0,0,4,1,0.43,0,1,NA,-1.562988235,4,4,4,5,4,4,4,4,4,4,2,43,4,4,5,4,4,4,4,4,5,4,5,5,4,5,5,5,5,4,4,5,89,3
7969046,18,2,1,1,16,2,2,157,0,0,0,0,1,1,0,0.5,1,0,-2.617137625,4,5,4,5,4,4,4,3,4,3,5,45,4,4,3,5,2,4,4,4,2,2,4,2,3,3,2,2,4,4,3,2,63,1
7969211,20,2,1,1,17,2,2,500,1,0,0,0,1,0,0,0,1,NA,-2.09534254,2,4,4,4,4,2,5,5,4,5,4,43,4,2,1,4,4,4,4,4,4,2,4,4,3,3,4,4,5,5,4,3,72,1
7969227,29,2,3,0,17,7,50,500,5,3,10,0,30,10,1,2,1,NA,13.29652259,4,5,5,5,4,5,3,4,5,4,3,47,4,5,5,4,5,4,4,5,3,4,4,5,5,4,5,5,5,4,5,5,90,0
7969351,21,1,4,1,15,3,1.5,141,0.5,0,0,0,0,0.5,0,0.5,0,NA,-4.392547272,4,4,4,2,4,4,4,4,1,2,3,36,4,5,2,2,4,1,2,2,1,1,3,3,1,4,2,2,4,2,4,4,53,1
7969591,27,2,3,0,15,5,40,453,2,5,0,0,20,15,0,0,1,0,6.442302205,5,5,5,5,1,5,5,5,5,5,1,47,5,5,4,5,4,5,3,5,5,4,5,4,5,5,4,5,5,4,5,5,92,0
7969907,21,2,4,1,15,3,2,753,0,0,0,0,1,1,0,0,0,0,-3.617951035,1,2,5,2,2,2,5,5,3,2,4,33,4,1,1,1,1,1,3,1,1,1,1,4,1,2,1,1,1,1,5,4,36,0
7970286,19,2,2,1,16,2,10,500,4,2,0,0.5,3,5,0,0.5,1,0,0.879527654,4,4,4,4,4,4,4,4,4,4,4,44,3,3,4,5,2,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,86,0
7970524,22,2,1,1,18,4,30,2000,10,10,0,1,3,3,1,1,0,NA,7.408926616,1,2,2,4,2,2,5,4,2,2,4,30,4,5,4,3,4,4,2,2,1,1,2,4,2,4,2,4,2,5,5,5,65,1
7970556,21,2,1,1,16,1,1,130,1,1,0.5,1,1,1,1,0.5,1,0,-1.464564601,2,2,2,2,2,2,3,4,4,4,2,29,3,5,1,3,4,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,49,1
7972798,32,2,4,0,15,10,4.5,644,0,0,0,1,1,0.5,0.5,0.5,0,Reading posts from connections on my feed and commenting,-1.195284797,4,4,2,2,4,3,3,4,4,4,3,37,4,3,2,2,2,2,3,2,1,4,2,4,4,4,3,4,3,3,4,2,58,0
7974512,20,1,4,1,16,1,10,20,0,4,0,1,2,1,0,2,1,NA,-0.437913574,3,2,2,2,2,2,4,4,3,4,4,32,4,2,2,2,1,3,4,2,4,5,4,2,3,4,4,4,2,2,4,4,62,1
7974525,20,2,3,1,15,3,1,74,0,2,0,0,1,1,0,0,1,0,-2.131692637,2,4,4,4,4,5,5,3,2,3,4,40,4,4,2,5,1,1,1,1,1,1,1,4,2,4,5,1,2,4,1,3,48,0
7974586,20,2,3,1,14,2,15,532,3,5,0,4,2,1,0,0,1,NA,2.515739585,3,4,4,4,3,4,4,4,4,3,5,42,4,5,4,5,5,5,4,5,3,3,5,4,4,3,3,2,5,4,5,5,83,1
7974701,22,2,4,0,15,3,7,140,0.5,4.5,0,0,0.5,2,0,0.5,1,0,-0.591102143,3,5,3,5,5,4,5,5,5,5,5,50,5,4,2,2,4,4,5,2,2,2,5,2,2,5,1,2,3,4,4,1,61,0
7975004,21,2,4,1,15,3,5,368,4,3,0,1,5,4,0,0.5,0,checking where my connections work,-0.738355783,2,4,4,2,4,4,5,5,5,5,1,41,5,3,2,4,4,4,3,2,2,4,3,4,2,5,4,5,4,5,3,5,73,0
7976064,20,1,1,1,15,3,5,899,0.5,0,0,0,2.5,2,0,0,1,NA,-0.858939185,2,4,4,3,2,3,4,3,4,3,3,35,4,3,3,2,2,2,4,4,2,4,2,2,2,4,3,4,2,4,4,1,58,1
7977082,22,1,4,0,17,1,2,190,0.5,0.5,0,0,0,1,0,0,0,0,-4.744863978,5,4,3,4,5,4,5,5,5,5,4,49,4,5,1,4,4,3,5,2,2,4,2,4,3,5,5,2,3,5,5,4,72,0
7977110,23,1,4,1,16,3,5,200,0.5,0,0,0,3.5,1,0,0,1,0,-1.827746272,4,3,2,4,4,5,4,4,3,2,4,39,5,4,3,4,4,4,4,4,4,5,4,4,5,4,4,4,5,5,5,4,85,0
7977186,21,2,3,1,15,5,1.5,487,0.05,1,0,0,0.4,0.05,0,0,1,NA,-1.444242375,1,3,4,5,5,5,5,5,5,3,4,45,3,1,1,1,4,3,4,3,1,1,3,4,3,4,4,3,5,4,5,3,60,1
7979169,24,2,4,0,15,4,25,645,2,7,0,0.5,13,1,1,0.5,1,NA,4.640616093,4,5,4,3,4,4,5,5,5,4,5,48,5,5,2,4,5,4,4,5,3,3,4,4,4,4,3,4,5,4,1,4,77,1
7980040,22,1,4,1,15,5,2,150,0.5,1,0,0,1,1,0,1,1,0,-1.309362296,4,5,5,5,5,4,4,4,3,4,5,48,5,5,4,2,4,5,5,5,4,5,5,5,5,5,4,3,5,4,3,5,88,0
7980273,21,2,4,1,14,2,0.2,30,0,0,0,0,0.2,0,0,0,1,0,-3.25248623,4,5,5,5,4,5,4,5,4,2,4,47,4,3,4,5,2,4,5,3,2,2,3,3,2,4,3,2,4,3,4,4,66,0
7981899,25,1,4,0,19,5,2,449,0.5,0,0,0.5,0.5,0.5,0,0,0,NA,-3.330992128,1,4,3,2,4,4,4,5,4,2,5,38,4,2,1,2,3,4,3,3,3,5,3,4,4,3,2,4,3,4,4,2,63,1
7982666,22,2,4,0,17,3,1,200,0,0,0,0,0,0,0,0,1,0,-2.73151833,3,3,4,4,2,4,4,4,4,4,2,38,4,4,3,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,76,0
7984217,22,2,4,0,15,2,1,61,1,1,0,0,0,1,0,1,0,0,-4.169171544,2,3,4,2,4,4,5,4,3,5,5,41,5,4,2,3,4,4,2,3,2,2,3,4,3,4,3,2,2,3,4,4,63,0
7984438,25,1,4,0,17,4,2,350,0,1,0,0,0,0,0,1,0,NA,-3.564409558,1,4,3,1,4,3,5,5,4,3,4,37,5,4,1,1,3,2,3,1,1,1,1,4,2,2,1,1,2,4,5,5,49,3
7984439,20,2,3,1,18,2,4.5,318,0.5,2.5,0,0.1,1.5,1,0,0.5,1,applying for jobs - c.a. 2,-1.270929623,2,4,3,2,4,5,4,4,4,3,5,40,4,4,4,4,4,5,4,2,3,2,4,5,4,4,2,2,5,4,2,5,73,0
7984446,25,2,4,0,18,4,80,1000,3,1,0,1,3,70,0,0,1,checking who opened and read my profile - 2 hours and checking how many connections I have (the number is rising every month so I am checking from curiosity) - 1 hour,12.36009108,4,4,5,4,4,4,5,5,3,2,4,44,5,3,1,1,4,1,2,1,1,1,2,5,2,1,1,4,3,3,3,4,48,0
7984437,33,1,4,0,16,10,0.25,69,0,0,0,0.25,0,0,0,0,0,0,-3.08238218,3,4,4,2,3,3,4,3,2,2,3,33,3,2,4,1,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,5,34,0
7984478,30,2,4,0,18,7,3,228,0,0.5,0,0.1,2.5,0.5,0,0.1,1,NA,-1.020703733,2,4,3,3,2,4,4,3,3,4,3,35,4,3,1,1,1,1,2,2,1,3,1,3,1,1,1,4,3,1,4,1,39,1
7984501,21,1,4,1,14,4,10,621,0.5,0.5,0,0.5,7,0.5,0,0.1,0,NA,-1.874626714,2,3,5,1,4,5,4,4,4,4,4,40,2,5,2,1,1,1,4,3,1,4,1,4,2,2,1,4,2,4,2,2,48,1
7984507,39,1,4,0,20,13,4,600,1,0,0,1,2,0,0,0,0,0,-0.544863916,2,2,3,2,1,2,3,2,2,2,2,23,3,3,4,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,34,0
7984667,25,2,4,0,17,5,4,450,0,0,0,0,3,0.5,0,0,1,0,-1.287163278,2,4,3,3,4,3,4,2,2,3,4,34,2,3,3,2,3,2,2,3,2,2,3,3,2,2,2,3,1,2,2,4,48,0
7984822,35,1,4,0,17,11,2,427,0,0.5,0,0.25,1,0.25,0,0,0,NA,-1.927158197,1,3,1,2,2,4,5,5,5,2,3,33,4,5,1,1,4,1,5,3,2,3,3,4,2,2,1,4,1,2,4,2,54,1
7985056,28,1,4,0,13,8,1,244,0,0,0,0,0,0,0,0,0,0,-3.372737259,3,2,2,2,2,3,4,4,4,4,3,33,4,4,2,4,3,3,4,3,3,3,4,4,3,4,4,4,2,3,2,3,66,1
7984840,29,1,4,0,17,4,3,130,0,0.5,0,0,1,1,0,0.5,1,NA,-1.94760183,4,5,5,5,5,5,2,5,5,2,5,48,2,2,1,2,1,1,4,1,1,1,1,4,1,1,1,2,4,2,3,5,40,1
7985139,21,2,4,1,15,3,1,327,0,0,0,0,1,0,0,0,1,NA,-2.437475258,2,4,2,2,3,4,5,5,5,2,3,37,4,4,4,3,2,4,3,3,1,1,1,3,4,3,1,3,4,4,2,2,56,1
7985252,26,1,4,0,18,10,2.1,557,0,0.5,0,1,0.5,0,0,0.1,1,NA,0.188978965,2,4,4,5,5,4,3,4,5,4,3,43,3,4,1,2,2,4,5,2,2,2,2,4,3,4,2,4,3,4,4,4,61,1
7985316,18,1,4,1,11,0.5,11,400,3,0,0,1,5,1,0,1,1,NA,-0.222464489,3,3,4,2,2,2,5,5,4,4,4,38,4,2,1,1,2,2,3,2,2,1,2,2,2,2,1,2,2,2,1,3,39,2
7985970,23,2,4,1,17,1,3.5,80,0.5,0,0,0,2,0.5,0.5,0.5,1,NA,-2.471559105,2,4,5,5,5,4,2,4,2,2,4,39,5,2,4,5,4,5,5,2,3,5,4,4,4,5,4,5,4,5,2,5,82,1
7989936,22,2,1,1,14,1,4,8,0.5,0.5,0,0,0.5,2,0,0,1,NA,-2.771484375,4,5,5,5,5,5,4,4,4,4,5,50,3,3,4,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,4,4,90,1
7991272,23,2,2,1,10,3,30,57,30,30,30,30,30,10,30,40,0,NA,64.09050205,3,4,4,3,2,3,2,3,4,3,4,35,3,4,3,2,5,1,4,3,2,4,3,2,3,4,3,1,4,1,4,5,61,3
7991450,29,1,4,0,17,8,8,926,0.5,0.5,0,0.5,6,0.5,0,0,1,0,1.215061572,4,5,5,4,4,5,3,2,2,2,5,41,4,2,2,4,5,4,5,2,2,4,2,4,4,4,5,5,5,5,4,4,76,0
7991723,36,1,4,0,18,20,1.5,449,0,0,0,1,1,0,0,0.54,1,0,2.522606216,1,3,4,2,2,3,4,2,2,3,1,27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,60,0
7992208,24,1,4,1,17,5,5.5,460,0.1,0.1,0,0.1,2,0.2,0,0.5,1,"Recruitment - 2,5h",-1.070367026,1,2,2,1,2,2,4,4,4,4,4,30,3,4,2,3,3,2,1,2,1,1,2,3,2,2,2,3,2,2,2,4,46,0
7992326,22,1,4,1,14,2,0,18,0,0,0,0,0,0,0,0,0,0,-5.250913948,5,5,3,4,4,3,4,5,5,4,5,47,5,4,1,2,4,1,5,2,1,2,2,2,1,5,4,2,5,1,4,1,54,0
7996392,43,1,4,0,17,16,2,108,0,0,0,0,1,1,0,0,0,0,-1.304184404,2,3,3,2,1,2,4,4,3,2,2,28,2,4,2,2,2,1,2,2,1,3,2,1,2,2,2,1,1,2,2,1,37,0
8001987,25,2,1,0,18,7,3,350,0,0,0,0,1,1,0,0,0,read and click likes for other people's posts,-3.127483407,2,3,5,4,2,4,3,3,3,4,3,36,1,4,2,2,3,2,2,2,1,1,1,1,1,1,1,4,2,1,5,1,38,0
8009852,26,2,4,0,19,1.5,96,4200,2,0,0.5,1,1,96,1,0.5,1,NA,19.70381757,2,3,4,2,2,2,4,4,2,2,2,29,4,3,4,1,1,2,4,2,1,1,3,1,3,2,1,1,2,1,4,1,42,1
8012493,21,2,4,1,15,3,5,1200,2,2,0,0.5,1,1,0.02,0.15,1,NA,0.529168413,2,2,2,4,3,5,4,4,3,4,4,37,4,3,2,2,3,1,3,2,2,2,2,2,2,1,1,4,2,2,2,3,45,1
8023981,23,2,4,1,15,1,4,14,0.5,0.5,0,0,3,1,0,0.75,1,NA,-2.347461659,4,4,5,4,4,5,4,4,5,4,4,47,5,3,5,5,3,4,5,3,3,4,4,3,5,5,5,4,4,5,5,4,84,1
8027416,22,2,4,1,15,2,4,434,1,0,0.1,0.25,2,0.25,0.1,2,0,NA,-3.096971752,2,2,3,4,4,1,5,5,5,5,4,40,4,3,1,1,2,1,4,2,1,1,2,2,2,5,4,2,1,5,5,4,52,1
8029192,20,2,1,1,17,2,8,250,0,6,0,0.5,2,1,0,0.5,1,0,-0.060416834,2,4,5,5,4,5,5,3,4,5,4,46,5,5,3,4,4,5,3,2,2,4,5,4,5,4,5,4,5,4,5,5,83,0
8029386,21,2,1,1,15,2,1,200,0,0,0,1,0,2,1,0,0,NA,-3.979321591,2,2,2,3,4,2,2,4,4,4,1,30,4,4,3,3,2,2,4,3,2,2,4,3,4,3,2,4,2,2,4,2,59,1
8042810,23,2,1,1,17,1,3,43,2,0,0,1,1,2,0,1,0,NA,-3.736503647,4,4,4,2,2,4,5,4,2,2,5,38,5,4,2,4,4,4,2,1,2,2,4,4,4,4,4,2,2,5,5,5,69,1
8042916,20,2,1,1,14,2,5,500,1,3,0,1,1,1,0,1,0,0,-2.216210396,1,1,2,2,2,1,3,2,1,2,4,21,4,5,3,2,4,4,3,3,4,3,4,5,3,4,4,3,3,3,5,4,73,0
8043502,21,2,4,1,15,3,66,473,5,5,0,1,50,5,0,0.5,0,0,9.654526934,1,1,1,1,3,1,4,4,4,4,4,28,5,4,1,2,4,2,3,3,1,3,3,3,4,4,3,5,1,4,5,4,64,0
8044441,44,1,4,0,18,10,1,283,0.5,0,0,0,0,0,0,0,1,Accepting new connection requests 30minutes,-0.737501625,2,4,4,2,2,2,4,3,5,5,3,36,5,3,3,2,2,1,1,1,1,1,1,3,2,2,2,1,3,4,4,3,45,0
8044510,21,2,2,1,14,2,3,1,1,2,0,0,3,1,0,1,1,NA,-1.544432092,4,4,4,4,4,2,4,4,4,4,2,40,4,2,4,5,5,4,4,5,5,4,4,4,2,4,4,4,4,4,4,4,80,2
8048864,18,1,1,1,12,0.5,60,196,2,2,6,10,2,50,5,5,1,NA,16.015653,3,2,4,4,5,4,4,4,4,4,4,42,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,62,1
8050029,20,2,4,1,13,0.5,5,150,0,0.5,0,0,0.5,1,0,0.5,1,0,-2.708636879,1,5,3,4,3,5,4,5,5,5,4,44,5,3,2,3,1,4,3,2,2,2,2,5,4,4,4,3,4,5,4,5,67,1
8051768,28,1,4,0,20,6,1,439,0.1,0,0,0.3,0.5,0.1,0,0,0,0,-3.387423744,1,2,2,4,1,1,3,4,1,1,4,24,4,2,3,2,3,2,2,3,1,4,2,2,2,1,2,1,1,1,5,3,46,1
8053210,26,2,4,0,15,3,1,150,0.1,0,0,0,0.9,0,0,0,0,0,-4.616897847,1,1,1,1,5,4,4,4,5,2,4,32,5,4,4,3,1,2,2,3,1,3,1,3,2,4,2,4,3,4,3,2,56,0
8053252,44,2,4,0,17,10,5,435,0.5,0.25,0.25,0.5,1,1,0.25,0,1,NA,0.404546779,4,4,4,4,2,4,4,4,4,4,2,40,4,2,2,4,4,2,4,4,2,4,3,4,4,4,4,4,4,4,4,4,71,1
8054286,19,2,4,1,15,1,5,114,0,1,0,0.5,2,1,0,0.5,0,NA,-4.080395791,1,4,4,3,4,4,4,4,5,4,5,42,4,4,1,2,3,4,5,4,2,4,4,5,3,4,2,4,4,5,4,3,71,1
8057253,54,1,4,0,16,9,2,733,0.1,0.1,0.1,0.1,1,0.3,0.2,0,0,0,-2.01342814,2,2,4,3,2,2,4,4,2,2,2,29,5,4,4,2,4,4,3,2,2,2,4,2,2,2,2,2,2,2,4,2,56,0
8062092,42,2,4,0,19,4,4,12,1,2,1,1,2,2,0,0,0,0,-2.486820002,2,4,4,3,2,4,5,4,4,4,2,38,4,3,2,2,2,3,2,2,1,3,2,4,4,4,2,2,4,4,4,3,57,1
8062479,18,2,1,1,16,1,0,20,1,1,0,0,0,1,0,1,1,NA,-2.598923187,4,4,5,4,4,4,5,5,5,5,4,49,3,5,4,3,4,3,4,4,1,5,4,5,5,4,5,4,5,5,4,5,82,1
8065461,20,2,1,1,14,2,10,116,2,1,0,1,1,2,0,1.5,1,following groups -1.5,-0.52720688,2,2,2,1,4,5,5,2,4,5,2,34,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,92,0
8065640,40,2,4,0,16,14,11,421,1,5,0,0,3,1,0.5,0.5,1,NA,3.479599248,2,4,4,3,4,5,5,4,4,3,4,42,3,3,3,2,4,3,4,2,2,4,3,5,4,4,3,4,4,3,5,4,69,1
8066680,42,2,4,0,17,20,60,500,20,0,5,2,80,20,5,1,0,NA,25.3471768,4,2,3,4,3,4,5,4,4,3,3,39,4,4,3,3,4,3,2,2,1,2,2,1,1,2,1,1,2,2,1,2,43,1
8074818,20,2,2,1,13,1,3,2,0.5,0,0,0,2,1,0,0.5,1,0,-2.764087842,5,4,4,5,5,5,2,5,5,5,5,50,5,2,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,3,5,5,92,0
8080536,51,1,4,0,16,10,0.5,299,0,0.5,0,0.5,0,0.5,0,0,0,0,-2.457252477,1,2,2,2,5,2,2,3,4,3,3,29,2,4,3,4,2,3,2,2,1,2,2,2,4,3,1,4,4,3,2,2,52,0
8086057,21,1,4,1,15,0,1,3,0,0,0,0,0,0,0,1,0,NA,-5.40328508,4,5,4,2,4,5,5,5,4,3,4,45,5,2,1,4,3,4,2,2,3,4,3,1,4,4,3,1,3,3,5,5,62,1
8086513,20,1,1,1,15,3,2,380,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0,0,-3.298354941,4,4,3,4,2,4,4,4,4,4,2,39,4,3,4,4,3,4,4,4,4,4,3,3,4,4,3,3,4,3,3,3,71,0
8087496,23,2,4,1,16,5,1,300,1,8,2,0,10,3,0,1,1,0,2.923808372,5,4,4,5,2,4,4,5,5,5,4,47,5,3,2,4,4,3,4,3,3,4,4,4,4,4,3,4,4,3,4,4,73,2
8094627,20,1,4,1,14,1,16,20,1,1,0,1,7,2,0,0.33,1,NA,-0.441463093,4,5,4,2,3,3,5,4,3,4,4,41,5,2,4,4,2,4,5,5,4,5,4,3,3,4,4,4,3,3,5,4,77,1
8095467,22,2,1,1,16,2,3,4,0.5,1,0,0.5,0.25,0.25,0,0.5,0,0,-4.255263899,2,2,2,1,2,2,3,2,4,2,2,24,4,2,4,2,2,2,3,2,2,2,4,2,2,2,2,2,2,2,4,2,49,1
8095528,24,2,4,0,17,5,30,436,5,20,0,0,5,1,0,1,1,I sometime read articles posted on LinkedIn - maybe 5-10 hours per month,8.142413599,1,4,4,3,4,4,3,3,4,4,5,39,5,5,4,4,4,5,5,4,4,3,4,5,5,4,3,4,4,4,5,4,85,0
8096153,47,2,4,0,20,1.5,2,150,0,0.01,0,0,2,0.05,0,0,0,NA,-4.8156738,1,2,2,1,2,1,3,3,3,2,4,24,2,3,3,2,3,3,2,1,1,1,1,3,2,2,2,2,2,2,2,2,41,1
8096651,22,2,1,1,15,1,5,480,1,3,0.5,0.5,1,0.5,0.5,0.5,1,NA,-0.550157263,2,4,4,2,3,4,4,4,4,4,2,37,4,3,2,4,4,4,4,1,4,4,4,5,4,5,3,4,4,4,4,4,75,1
8099086,45,2,4,0,17,12,2,500,1,1,0,2,6,1,1,0,0,0,0.523620993,2,2,2,2,1,2,4,2,3,3,2,25,2,3,4,2,2,2,4,2,1,2,3,2,2,2,2,3,2,2,2,1,45,0
8099362,19,1,1,1,13,1,0.5,200,0.5,0,0,0,0.5,1,0,1,0,0,-4.621932597,3,4,3,1,3,1,4,4,4,4,2,33,5,3,1,3,1,5,4,1,1,3,3,2,5,4,3,3,4,4,5,4,64,0
8100112,25,2,4,1,17,7,12,272,0.5,3,0,1,6,0.5,0,1,1,NA,1.51114031,2,5,5,4,5,4,4,4,4,4,5,46,4,4,3,4,3,4,4,4,2,4,2,3,4,4,4,2,4,4,4,5,72,1
8102959,24,1,4,1,17,2,4,263,0.5,0.1,0,0.3,0.5,1,0,0.2,0,0,-4.142780577,1,5,5,3,4,5,4,4,4,2,5,42,3,4,3,5,5,4,5,5,4,5,4,5,5,4,5,5,5,5,5,5,91,0
8105989,53,1,4,0,17,15,1,283,0,0,0,0,0.5,0.5,0,0,0,NA,-1.476199231,1,1,2,1,1,1,3,3,3,2,1,19,3,4,1,2,2,1,1,2,1,5,2,1,1,1,1,1,1,2,2,1,35,1
8106828,21,1,4,1,14,2,4,198,0,2.5,0,0,0,1,0,0,0,0,-3.915449783,2,4,5,4,4,4,4,4,4,4,5,44,4,4,3,4,5,5,5,4,2,4,4,2,3,1,1,2,4,2,5,5,69,0
8106865,22,2,1,1,16,3,5,606,2,0,0,0,1,1,0,1,0,NA,-2.770173874,1,4,4,5,4,4,3,3,4,2,5,39,5,5,3,4,4,5,5,3,4,5,4,4,4,4,4,4,4,4,4,5,84,1
8113968,20,2,1,1,13,3,2,500,1,1,0,1,2,1,0,1,0,0,-2.630441927,3,5,4,4,3,4,4,4,4,4,2,41,4,5,4,4,4,4,5,2,2,3,2,4,4,4,3,3,2,3,5,4,71,0
8120212,25,2,3,1,17,5,4,500,2,3,1,0,8,1,0,1,1,"scrolling, updating profile",1.477838537,4,4,4,4,4,4,4,4,4,4,5,45,5,3,4,4,5,4,4,2,4,5,4,2,4,4,4,4,4,4,4,4,78,0
